"year","genres","mean_ratings","count"
2002,"Fantasy",6.7214709371293,843
2002,"History",7.29926650366748,409
2002,"Horror",5.71154401154401,693
2002,"Music",6.94195624195624,777
2002,"Musical",6.832,150
2002,"Mystery",7.20052465897167,953
2002,"Other",6.28085808580858,606
2002,"Romance",6.80668069437138,1901
2002,"Sci-Fi",6.7819734345351,527
2002,"Short",6.72030692362598,2802
2002,"Sport",6.72833333333333,540
2002,"Talk-Show",6.08660130718954,306
2002,"Thriller",6.13081481481481,675
2002,"War",6.98857142857143,175
2003,"Action",7.09384696292401,3803
2003,"Adult",6.55618631732169,687
2003,"Adventure",7.27391304347826,3220
2003,"Animation",7.24193905817175,3610
2003,"Biography",7.00566502463054,406
2003,"Comedy",6.92692678891493,7253
2003,"Crime",7.11276505513147,2358
2003,"Documentary",7.08775510204082,3626
2003,"Drama",7.12569803516029,7736
2003,"Family",7.0452296819788,1698
2003,"Fantasy",6.85158371040724,884
2003,"History",7.48904847396768,557
2003,"Horror",5.7609819121447,774
2003,"Music",6.67396386822529,941
2003,"Musical",6.38674698795181,166
2003,"Mystery",7.24451038575668,1011
2003,"Other",6.05847568988174,761
2003,"Romance",6.83411826268969,1911
2003,"Sci-Fi",6.51274509803922,510
2003,"Short",6.75318694724001,3279
2003,"Sport",6.99736842105263,456
2003,"Talk-Show",6.11777251184834,422
2003,"Thriller",6.0474043715847,732
2003,"War",7.04522292993631,157
2004,"Action",7.12860163891092,3783
2004,"Adult",6.66710875331565,754
2004,"Adventure",7.27427854454203,3188
2004,"Animation",7.2377239199157,3796
2004,"Biography",7.13758099352052,463
2004,"Comedy",6.92940685045948,8379
2004,"Crime",7.30657948508378,2447
2004,"Documentary",7.14302562939442,4409
2004,"Drama",7.10425055928412,8046
2004,"Family",7.14618696186962,1626
2004,"Fantasy",7.02067156348374,953
2004,"History",7.66351931330472,699
2004,"Horror",5.84227129337539,951
2004,"Music",6.7269621421976,1083
2004,"Musical",6.73818181818182,165
2004,"Mystery",7.2269477543538,1091
2004,"Other",5.95509783728115,971
2004,"Romance",6.80166585007349,2041
2004,"Sci-Fi",6.553911205074,473
2004,"Short",6.88909512761021,4310
2004,"Sport",6.98292253521127,568
2004,"Talk-Show",6.33369713506139,733
2004,"Thriller",6.21326530612245,784
2004,"War",7.26171875,256
2005,"Action",7.11574884199691,3886
2005,"Adult",6.82782051282051,780
2005,"Adventure",7.39850662158354,3549
2005,"Animation",7.37412155745489,4212
2005,"Biography",7.05631691648822,467
2005,"Comedy",7.00267884635123,9743
2005,"Crime",7.31173657100809,2718
2005,"Documentary",7.21298921091601,4727
2005,"Drama",7.12572955199342,9732
2005,"Family",7.22235477178423,1928
2005,"Fantasy",7.08908145580589,1154
2005,"History",7.32447844228095,719
2005,"Horror",5.76285979572888,1077
2005,"Music",6.74270664505673,1234
2005,"Musical",6.90432432432432,185
2005,"Mystery",7.29337431693989,1464
2005,"Other",6.17995028997515,1207
2005,"Romance",6.81268251981644,2397
2005,"Sci-Fi",6.66435452793834,519
2005,"Short",6.91885125184094,4753
2005,"Sport",7.00310650887574,676
2005,"Talk-Show",6.08798235942668,907
2005,"Thriller",6.37704918032787,915
2005,"War",7.09683257918552,221
2006,"Action",7.05544106559437,3979
2006,"Adult",6.78277777777778,720
2006,"Adventure",7.23182849936948,3965
2006,"Animation",7.28730745532964,4869
2006,"Biography",7.17781954887218,532
2006,"Comedy",6.98604651162791,10621
2006,"Crime",7.1513475177305,2820
2006,"Documentary",7.22308151093439,5030
2006,"Drama",7.06434034416826,10460
2006,"Family",6.94385964912281,2223
2006,"Fantasy",7.03365455893254,1349
2006,"History",7.28696808510638,752
2006,"Horror",5.70702028081123,1282
2006,"Music",6.79144385026738,1309
2006,"Musical",6.6565445026178,191
2006,"Mystery",7.24753127057275,1519
2006,"Other",6.36289818863211,1601
2006,"Romance",6.82303664921466,2483
2006,"Sci-Fi",6.70448833034111,557
2006,"Short",6.95232722143865,4963
2006,"Sport",7.01750841750842,891
2006,"Talk-Show",6.40616113744076,1055
2006,"Thriller",6.15630797773655,1078
2006,"War",7.14809160305343,262
2007,"Action",7.10266415500538,3716
2007,"Adult",6.81313320825516,533
2007,"Adventure",7.26424932574168,3337
2007,"Animation",7.31449676823638,4332
2007,"Biography",7.15825688073395,436
