"X","crop","year","yield","pct_change_yield","genres","mean_ratings","count","pct_change_rating"
17,"maize",1997,52232.1386010293,-2.01125189520544,"Mystery",7.31002506265664,798,0.858174229815696
17,"maize",1997,52232.1386010293,-2.01125189520544,"Other",6.01017964071856,334,-9.44819700898663
17,"maize",1997,52232.1386010293,-2.01125189520544,"Romance",6.80284360189573,1266,-0.69305691064945
17,"maize",1997,52232.1386010293,-2.01125189520544,"Sci-Fi",6.43301204819277,415,1.36072984489177
17,"maize",1997,52232.1386010293,-2.01125189520544,"Short",6.67192118226601,1015,0.158638482999563
17,"maize",1997,52232.1386010293,-2.01125189520544,"Sport",6.72521994134897,341,1.1862572946095
17,"maize",1997,52232.1386010293,-2.01125189520544,"Talk-Show",5.63021390374332,374,-14.621861611306
17,"maize",1997,52232.1386010293,-2.01125189520544,"Thriller",5.95080500894454,559,0.486039226873776
17,"maize",1997,52232.1386010293,-2.01125189520544,"War",7.01848739495798,119,-2.4323565986093
18,"maize",1998,55293.9422312435,5.86191512011699,"Action",6.96415532691669,3013,-0.560843487444026
18,"maize",1998,55293.9422312435,5.86191512011699,"Adult",6.52848837209302,516,0.152839046405716
18,"maize",1998,55293.9422312435,5.86191512011699,"Adventure",7.16375650780937,2497,-0.015352297479561
18,"maize",1998,55293.9422312435,5.86191512011699,"Animation",7.28402178847027,2203,-1.19304564953408
18,"maize",1998,55293.9422312435,5.86191512011699,"Biography",6.97472527472527,364,-1.89237696401026
18,"maize",1998,55293.9422312435,5.86191512011699,"Comedy",6.96455445544554,5555,0.0829300114197739
18,"maize",1998,55293.9422312435,5.86191512011699,"Crime",7.06328754144955,2111,0.191452006807532
18,"maize",1998,55293.9422312435,5.86191512011699,"Documentary",7.1782412626832,1774,-0.606787114876223
18,"maize",1998,55293.9422312435,5.86191512011699,"Drama",6.97336936265375,5366,0.376243923412826
18,"maize",1998,55293.9422312435,5.86191512011699,"Family",6.71688311688312,1309,-2.6787699300463
18,"maize",1998,55293.9422312435,5.86191512011699,"Fantasy",6.29369797859691,841,-3.55320699708447
18,"maize",1998,55293.9422312435,5.86191512011699,"History",7.41180555555556,288,1.04995964085901
18,"maize",1998,55293.9422312435,5.86191512011699,"Horror",5.81457489878543,494,-0.762791932854221
18,"maize",1998,55293.9422312435,5.86191512011699,"Music",7.05496828752643,473,0.31230374823316
18,"maize",1998,55293.9422312435,5.86191512011699,"Musical",5.04226804123711,194,-13.2319458808894
18,"maize",1998,55293.9422312435,5.86191512011699,"Mystery",7.31616541353383,798,0.0839990400109275
18,"maize",1998,55293.9422312435,5.86191512011699,"Other",6.128,425,1.96034671714649
18,"maize",1998,55293.9422312435,5.86191512011699,"Romance",6.83554175293306,1449,0.480654163917839
18,"maize",1998,55293.9422312435,5.86191512011699,"Sci-Fi",6.5178970917226,447,1.31952253305162
18,"maize",1998,55293.9422312435,5.86191512011699,"Short",6.72970069071374,1303,0.866010057212731
18,"maize",1998,55293.9422312435,5.86191512011699,"Sport",6.70887949260042,473,-0.242972704105691
18,"maize",1998,55293.9422312435,5.86191512011699,"Talk-Show",5.51261261261261,333,-2.08875352058153
18,"maize",1998,55293.9422312435,5.86191512011699,"Thriller",6.08590831918506,589,2.27033670297461
18,"maize",1998,55293.9422312435,5.86191512011699,"War",7.14166666666667,144,1.75506864623254
19,"maize",1999,54626.9051905852,-1.20634741120229,"Action",6.98412204234122,3212,0.286706922623601
19,"maize",1999,54626.9051905852,-1.20634741120229,"Adult",6.63460869565217,575,1.62549609512635
19,"maize",1999,54626.9051905852,-1.20634741120229,"Adventure",7.17402805611222,2495,0.143382152808386
19,"maize",1999,54626.9051905852,-1.20634741120229,"Animation",7.27121451104101,2536,-0.175827006030255
19,"maize",1999,54626.9051905852,-1.20634741120229,"Biography",6.97815533980583,412,0.049178497294928
19,"maize",1999,54626.9051905852,-1.20634741120229,"Comedy",6.95653953183827,6109,-0.115081641740935
19,"maize",1999,54626.9051905852,-1.20634741120229,"Crime",7.02723995880535,1942,-0.510351340401506
19,"maize",1999,54626.9051905852,-1.20634741120229,"Documentary",7.15432645034415,2034,-0.333156987399883
19,"maize",1999,54626.9051905852,-1.20634741120229,"Drama",6.92693856998993,5958,-0.665830106640867
